,paperID,authorName
396,105,"Mirandola, Raffaela"
397,105,"Pl il, Frantiek"
398,106,"Cubo, Javier"
399,106,"Pimentel, Ernesto"
400,107,"Atkinson, C"
401,108,"Seriai, Abderrahmane"
402,108,"Sadou, Salah"
403,108,"Sahraoui, Houari"
404,108,"Hamza, Salma"
405,109,"Ciraci, Selim"
406,109,"S zer, Hasan"
407,109,"Aksit, Mehmet"
408,110,"S zer, Hasan"
409,110,"Tekinerdogan, Bedir"
410,111,"Braude, Eric J"
411,112,"Garcia, Joshua"
412,112,"Popescu, Daniel"
413,112,"Edwards, George"
414,112,"Medvidovic, Nenad"
415,113,"Hamid, Brahim"
416,113,"Krichen, Fatma"
417,114,"Arias, Trosky B"
418,114,Callo
419,114,"America, Pierre"
420,114,"Avgeriou, Paris"
421,115,"Arias, Trosky B"
422,115,Callo
423,115,"America, Pierre"
424,115,"Avgeriou, Paris"
425,116,"Arias, Trosky B"
426,116,Callo
427,116,"America, Pierre"
428,116,"Avgeriou, Paris"
429,117,"Casanova, Paulo"
430,117,"Schmerl, Bradley"
431,117,"Garlan, David"
432,117,"Abreu, Rui"
433,118,"Sarang, Poornachandra"
434,119,"Sarang, P"
435,120,"McGee, Ryan A"
436,120," Eklund, Ulrik"
437,120,"Lundin, Mats"
438,121,"Koutsogiannopoulou, Violetta"
439,121,"Wilson, James G"
440,122,"Koutsogiannopoulou, Violetta"
441,122,"Wilson, James G"
442,123,"Woods, Eoin"
443,123,"Bashroush, Rabih"
444,124,"Woods, Eoin"
445,124,"Bashroush, Rabih"
446,125,"Bass, Len"
447,125,"Clements, Paul"
448,125,"Kazman, Rick"
449,125,"Klein, Mark"
450,126,"Cho, Hyun Seok"
451,126,"Jung, Myunghee"
452,126,"Navarro, Jose"
453,126,"Ohashi, Masato"
454,126,"Van Zee, J W"
455,127,"Orlic, Bojan"
456,127,"David, Ionut"
457,127,"Mak, Rudolf H"
458,127," Lukkien, Johan J"
459,128,"Perovich, Daniel"
460,128,"Bastarrica, Maria Cecilia"
461,129,"Miesbauer, Cornelia"
462,129,"Weinreich, Rainer"
463,130,"Miesbauer, Cornelia"
464,130,"Weinreich, Rainer"
465,131,"Mart nez Prieto, Miguel A"
466,131," Cuesta, Carlos E"
467,131," De La Fuente, Pablo"
468,132,"Mart nez Prieto, Miguel A"
469,132," Cuesta, Carlos E"
470,132," De La Fuente, Pablo"
471,133,"Martfnez Prieto, M A"
472,133," Cuesta, C E"
473,133," de la Fuente, P"
474,134,"Martfnez Prieto, M A"
475,134," Cuesta, C E"
476,134," de la Fuente, P"
477,135,"Bachmann, Felix"
478,135,"Bass, Len"
479,135,"Klein, Mark"
480,135,"Shelton, Charles"
481,136,"Bachmann, F"
482,136," Bass, L"
483,136," Klein, M"
484,136," Shelton, C"
485,137,"Schwittek, Widura"
486,137,"Eicker, Stefan"
487,138,"Ali, Nour"
488,138,"Rosik, Jacek"
489,138,"Buckley, Jim"
490,139,"Zdun, Uwe"
491,139,"Capilla, Rafael"
492,140,"Zdun, Uwe"
493,140,"Capilla, Rafael"
494,141,"Molesini, Ambra"
495,141,"Garcia, Alessandro"
496,141,Von Flach G
497,141,"Chavez, Christina"
498,141,"Batista, Thais"
499,142,"Anvaari, M"
500,142," Zimmermann, O"
501,143,"Tofan, Dan"
502,143,"Galster, Matthias"
503,144,"Harrison, Neil B"
504,144," Avgeriou, Paris"
505,145,"Harrison, Neil B"
506,145," Avgeriou, Paris"
507,146,"Harrison, N B"
508,146," Avgeriou, P"
509,147,"Harrison, N B"
510,147," Avgeriou, P"
511,148,"Kruchten, Philippe"
512,148,"Lago, Patricia"
513,148,"Van Vliet, Hans"
514,149,"Kruchten, Philippe"
515,149,"Lago, Patricia"
516,149,"Van Vliet, Hans"
517,149,"Wolf, Timo"
518,150,"De Boer, Remco C"
519,150," Van Vliet, Hans"
520,151,"de Boer, R C"
521,151," van Vliet, H"
522,152,"Muhammad, Naeem"
523,152,"Boucke, Nelis"
524,152,"Berbers, Yolande"
525,153,"Morandi, Benjamin"
526,153,"West, Scott"
527,153,"Nanz, Sebastian"
528,153,"Gomaa, Hassan"
529,154,"Ton That, Minh T"
530,154,"Sadou, Salah"
531,154,"Oquendo, Flavio"
532,154,"Borne, Isabelle"
533,155,"Kamal, Ahmad Waqas"
534,155,"Avgeriou, Paris"
535,156,"Kamal, Ahmad Waqas"
536,156,"Avgeriou, Paris"
537,157,"Christensen, Henrik Brbak"
538,157,"Hansen, Klaus Marius"
539,158,"Garcia, Joshua"
540,158,"Krka, Ivo"
541,158,"Medvidovic, Nenad"
542,158,"Douglas, Chris"
543,159,"Garcia, Joshua"
544,159,"Krka, Ivo"
545,159,"Medvidovic, Nenad"
546,159,"Douglas, Chris"
547,160,"Von Massow, Robert"
548,160,"Van Hoorn, Andr"
549,160," Hasselbring, Wilhelm"
550,161,Yongrui X
551,161,Peng Liang
552,162,"Li, Zengyang"
553,162,"Guelfi, Nicolas"
554,162,"Liang, Peng"
555,162,"Avgeriou, Paris"
556,162,"Ampatzoglou, Apostolos"
557,163,"Pruijt, Leo"
558,163,"Brinkkemper, Sjaak"
559,164,"Malavolta, Ivano"
560,165,"Su, Guoxin"
561,165,"Ying, Mingsheng"
562,165," Zhang, Chengqi"
563,166,"Su, Guoxin"
564,166,"Ying, Mingsheng"
565,166," Zhang, Chengqi"
566,167,"Phung Khac, An"
567,167,"Gilliot, Jean Marie"
568,167,"Segarra, Maria Teresa"
569,167,"Beugnard, Antoine"
570,167,"Kabor , Eveline"
571,168,"Olumofin, Femi G"
572,168," Miic, Vojislav B"
573,169,"C mara, Javier"
574,169,"Correia, Pedro"
575,169,"De Lemos, Rog rio"
576,169,"Vieira, Marco"
577,170,"Lung, Chung Horng"
578,170,"Balasubramaniam, Balasangar"
579,170,"Selvarajah, Kamalachelva"
580,170,"Elankeswaran, Poopalasinkam"
581,170,"Gopalasundaram, Umatharan"
582,171,"Zhang, Huaxi"
583,171,"Urtado, Christelle"
584,171,"Vauttier, Sylvain"
585,172,"Manteuffel, Christian"
586,172,"Tofan, Dan"
587,172,"Koziolek, Heiko"
588,172,"Goldschmidt, Thomas"
589,172,"Avgeriou, Paris"
590,173,"Berrocal, Javier"
591,173,"Garc a Alonso, Jos"
592,173," Murillo, Juan Manuel"
593,174,"Cavalcante, E"
594,174," Oquendo, F"
595,174," Batista, T"
596,175,"Knodel, Jens"
597,175,"Naab, Matthias"
598,176,"Sethi, Kanwarpreet"
599,176,"Cai, Yuanfang"
600,176,"Wong, Sunny"
601,176,"Garcia, Alessandro"
602,176,"Sant Anna, Claudio"
603,177,"Sethi, Kanwarpreet"
604,177,"Cai, Yuanfang"
605,177,"Wong, Sunny"
606,177,"Garcia, Alessandro"
607,177,"Sant Anna, Claudio"
608,178,"Sethi, Kanwarpreet"
609,178,"Cai, Yuanfang"
610,178,"Wong, Sunny"
611,178,"Garcia, Alessandro"
612,178,"Sant Anna, Claudio"
613,179,"Harrison, Neil B"
614,179," Avgeriou, Paris"
615,180,"Stol, Klaas Jan"
616,180,"Avgeriou, Paris"
617,180,"Ali Babar, Muhammad"
618,181,"Koschke, Rainer"
619,182,"Chardigny, Sylvain"
620,182,"Seriai, Abdelhak"
621,183,"Vasconcelos, Aline"
622,183," Werner, Cl udia"
623,184,"Dajsuren, Yanja"
624,184,"Gerpheide, Christine M"
625,184," Serebrenik, Alexander"
626,184,"Wijs, Anton"
627,184,"Vasilescu, Bogdan"
628,184,"Van Den Brand, Mark G"
629,185,"Garlan, David"
630,185,"Barnes, Jeffrey M"
631,185," Schmerl, Bradley"
632,185,"Celiku, Orieta"
633,186,"Garlan, David"
634,186,"Barnes, Jeffrey M"
635,186," Schmerl, Bradley"
636,186,"Celiku, Orieta"
637,187,"Garlan, David"
